index loc angle(deg) period(mkm) expose(mkm)
0 #00 90.0 2.0 2.0
1 #01 90.00 6.00 3.00
2 #02 45.0 6.0 3.0
3 #03 90.0 5.5 2.7
4 #04 45.0 5.5 2.7
5 #05 90.0 6.0 3.0
6 #06 45.0 6.0 3.0
7 #07 90.0 5.5 2.7
8 #08 45.00 5.50 2.70
9 #09 -45.00 6.00 3.00
10 #0A 0.0 6.0 3.0
11 #0B -45.0 5.5 2.7
12 #0C 0.0 5.5 2.7
13 #0D -45.0 6.0 3.0
14 #0E 0.0 6.0 3.0
15 #0F -45.0 5.5 2.7
16 #10 0.00 5.50 2.70
17 #11 90.00 5.00 2.50
18 #12 45.0 5.0 2.5
19 #13 90.0 4.5 2.2
20 #14 45.0 4.5 2.2
21 #15 90.0 5.00 2.50
22 #16 45.0 5.0 2.5
23 #17 90.0 4.5 2.2
24 #18 45.00 4.5 2.2
25 #19 -45.00 5.00 2.50
26 #1A 0.0 5.0 2.5
27 #1B -45.0 4.5 2.2
28 #1C 0.0 4.5 2.2
29 #1D -45.0 5.00 2.50
30 #1E 0.0 5.0 2.5
31 #1F -45.0 4.5 2.2
32 #20 0.00 4.5 2.2
33 #21 90.00 6.00 3.00
34 #22 45.0 6.0 3.0
35 #23 90.0 5.5 2.7
36 #24 45.0 5.5 2.7
37 #25 90.0 6.0 3.0
38 #26 45.0 6.0 3.0
39 #27 90.0 5.5 2.7
40 #28 45.00 5.50 2.70
41 #29 -45.00 6.00 3.00
42 #2A 0.0 6.0 3.0
43 #2B -45.0 5.5 2.7
44 #2C 0.0 5.5 2.7
45 #2D -45.0 6.0 3.0
46 #2E 0.0 6.0 3.0
47 #2F -45.0 5.5 2.7
48 #30 0.00 5.50 2.70
49 #31 90.00 5.00 2.50
50 #32 45.0 5.0 2.5
51 #33 90.0 4.5 2.2
52 #34 45.0 4.5 2.2
53 #35 90.0 5.00 2.50
54 #36 45.0 5.0 2.5
55 #37 90.0 4.5 2.2
56 #38 45.00 4.5 2.2
57 #39 -45.00 5.00 2.50
58 #3A 0.0 5.0 2.5
59 #3B -45.0 4.5 2.2
60 #3C 0.0 4.5 2.2
61 #3D -45.0 5.00 2.50
62 #3E 0.0 5.0 2.5
63 #3F 0.00 0.00 0.00
64 #40 0.00 0.00 0.00
