fn,best,avg,worst,alias
miss_xor_loop,111,110,105,"09_1.py"
dupe_xor_loop,110,107,104,"09_1.py"
miss_xor_reduce,84,86,85,"09_2.py"
dupe_xor_reduce,83,85,84,"09_2.py"
miss_recursive,9,1833,1413,"10.py"
dupe_recursive,8,1427,1612,"10.py"
miss_amigos,19,19,18,"01.py"
dupe_amigos,18,19,18,"01.py"
miss_andy,18,19,19,"02.py"
dupe_andy,18,18,19,"02.py"
miss_denis1,94,92,99,"03_1.py"
dupe_denis1,0.39,50,96,"03_1.py"
miss_denis2,40,72,122,"03_2.py"
dupe_denis2,0.4,49,98,"03_2.py"
miss_lex,9,1280,5243,"04.py"
dupe_lex,2,4270,5640,"04.py"
miss_obfs,40,41,39,"05.py"
dupe_obfs,9260,9810,9620,"05.py"
miss_perf,10,10,10,"06.py"
dupe_perf,10,10,10,"06.py"
miss_poke,258,245,257,"08.py"
dupe_poke,242,249,251,"08.py"
miss_ramz,5999,1530,6130,"07.py"
dupe_ramz,12,5900,11900,"07.py"
